;similar1;similar2;similar3;similar4;similar5
503;54884.0;7887.0;266807.0;31392.0;98344.0
1548;80516.0;201036.0;117925.0;276994.0;85240.0
6345;7887.0;82673.0;63923.0;276994.0;87051.0
6731;103811.0;276994.0;85616.0;100393.0;98344.0
7887;238246.0;182931.0;6345.0;503.0;87051.0
8801;94263.0;80516.0;214641.0;250764.0;151653.0
9381;245311.0;30385.0;140196.0;276994.0;85616.0
13682;273465.0;276994.0;85240.0;98344.0;96521.0
13935;276994.0;85240.0;100393.0;98344.0;96521.0
15008;276994.0;85240.0;100393.0;98344.0;96521.0
16244;276994.0;85240.0;100393.0;98344.0;96521.0
16943;226394.0;246528.0;85240.0;98344.0;96521.0
17596;64679.0;276994.0;85616.0;100393.0;98344.0
18464;85240.0;100393.0;98344.0;96521.0;94263.0
20401;136747.0;32329.0;86123.0;140423.0;258151.0
22461;276994.0;85616.0;100393.0;98344.0;96521.0
22495;23652.0;144828.0;276994.0;86123.0;100393.0
23652;22495.0;73022.0;55607.0;44389.0;123543.0
24778;173018.0;276994.0;85616.0;98344.0;96521.0
25410;65191.0;30385.0;80203.0;25966.0;32329.0
25930;174683.0;159977.0;276994.0;86123.0;98344.0
25966;242544.0;80203.0;154975.0;72100.0;253797.0
26122;276994.0;85616.0;100393.0;98344.0;96521.0
26598;103811.0;236399.0;242878.0;229742.0;144828.0
28820;276994.0;85616.0;100393.0;98344.0;96521.0
30385;9381.0;25410.0;172119.0;80203.0;276994.0
31392;503.0;85616.0;100393.0;98344.0;96521.0
31950;276038.0;112765.0;167556.0;138202.0;100519.0
32329;245311.0;151653.0;124048.0;121135.0;25410.0
32964;68886.0;85616.0;100393.0;98344.0;96521.0
34087;49314.0;68886.0;276994.0;85616.0;98344.0
34215;169054.0;151790.0;276994.0;86123.0;100393.0
34987;88187.0;188799.0;226462.0;143427.0;276994.0
39441;159977.0;44837.0;100393.0;86123.0;98344.0
40559;276994.0;100519.0;98344.0;96521.0;94263.0
44389;23652.0;80203.0;276994.0;86123.0;100393.0
44837;91761.0;39441.0;226462.0;276994.0;96521.0
47512;170792.0;81045.0;238246.0;125514.0;116816.0
49314;127049.0;34087.0;258151.0;138202.0;245311.0
50526;236399.0;82808.0;276994.0;85616.0;96521.0
51826;154346.0;257625.0;276994.0;98344.0;96521.0
52441;160200.0;276994.0;98344.0;96521.0;94263.0
54884;151002.0;503.0;94263.0;73022.0;55607.0
55607;73022.0;259430.0;23652.0;100393.0;154975.0
56157;250764.0;55607.0;159977.0;276994.0;85616.0
57354;276994.0;85240.0;98344.0;96521.0;94263.0
58168;276994.0;85240.0;98344.0;96521.0;94263.0
60809;82171.0;276994.0;85240.0;98344.0;96521.0
63665;197000.0;276994.0;83880.0;96521.0;94263.0
63923;6345.0;110317.0;276994.0;85616.0;98344.0
64679;17596.0;201036.0;229742.0;218875.0;25410.0
65191;25410.0;276994.0;85616.0;100393.0;98344.0
67288;124048.0;245311.0;259430.0;49314.0;276994.0
67958;276994.0;85240.0;98344.0;96521.0;94263.0
68886;32964.0;246528.0;34087.0;258151.0;72100.0
70014;156243.0;152696.0;121135.0;88187.0;98344.0
70318;80203.0;169770.0;276994.0;85616.0;98344.0
71897;125514.0;85240.0;98344.0;96521.0;94263.0
72100;88187.0;80516.0;87051.0;116582.0;103811.0
73022;55607.0;23652.0;123543.0;54884.0;252657.0
75335;276994.0;85616.0;100393.0;98344.0;96521.0
75429;275306.0;140423.0;151790.0;85240.0;98344.0
80203;154975.0;169770.0;25966.0;70318.0;145161.0
80516;8801.0;214641.0;201036.0;151653.0;1548.0
81045;193350.0;130792.0;47512.0;121592.0;111241.0
82171;60809.0;276994.0;85240.0;98344.0;96521.0
82673;93085.0;230293.0;6345.0;7887.0;212260.0
82808;50526.0;275306.0;276994.0;85616.0;98344.0
82955;152696.0;212260.0;230496.0;276994.0;83880.0
83880;276994.0;85616.0;100393.0;98344.0;96521.0
85240;70318.0;100393.0;98344.0;96521.0;94263.0
85616;213708.0;241597.0;83880.0;98344.0;96521.0
86123;236399.0;213708.0;229742.0;230293.0;94263.0
87051;238246.0;103811.0;72100.0;7887.0;276038.0
88187;34987.0;80516.0;116582.0;72100.0;188799.0
91633;276994.0;70318.0;100393.0;98344.0;96521.0
91719;276994.0;70318.0;100393.0;98344.0;96521.0
91761;44837.0;172119.0;88187.0;80516.0;116582.0
93085;82673.0;111241.0;246216.0;184632.0;85240.0
94263;8801.0;275306.0;98344.0;54884.0;213708.0
96521;191881.0;105572.0;127049.0;233738.0;145161.0
98344;198547.0;94263.0;8801.0;276994.0;85240.0
100393;259430.0;154975.0;241597.0;55607.0;116816.0
100519;70318.0;100393.0;98344.0;96521.0;94263.0
103811;236399.0;6731.0;26598.0;87051.0;229742.0
105572;191881.0;96521.0;127049.0;145161.0;231374.0
108267;8801.0;241597.0;236399.0;86123.0;230293.0
110317;116816.0;63923.0;276994.0;85240.0;96521.0
111241;246216.0;93085.0;54884.0;94263.0;81045.0
112109;276994.0;100519.0;98344.0;96521.0;94263.0
112765;276038.0;31950.0;145161.0;54884.0;80203.0
116582;88187.0;80516.0;229742.0;72100.0;91761.0
116816;259430.0;100393.0;154975.0;117925.0;241597.0
117210;276994.0;100519.0;98344.0;96521.0;94263.0
117925;188799.0;116816.0;1548.0;167556.0;85616.0
120829;121167.0;276994.0;98344.0;96521.0;94263.0
121135;70014.0;32329.0;88187.0;85616.0;100393.0
121167;156243.0;120829.0;85240.0;96521.0;94263.0
121592;154975.0;81045.0;193350.0;276994.0;96521.0
123543;73022.0;257625.0;23652.0;55607.0;238246.0
124048;32329.0;67288.0;187981.0;276994.0;85616.0
125514;71897.0;191881.0;105572.0;96521.0;197000.0
126928;276994.0;85240.0;98344.0;96521.0;94263.0
127049;212260.0;191881.0;105572.0;226394.0;96521.0
130792;238246.0;81045.0;276994.0;85240.0;96521.0
132522;276994.0;85240.0;98344.0;96521.0;94263.0
133225;188799.0;253482.0;231374.0;276994.0;83880.0
134596;152696.0;198355.0;276994.0;83880.0;96521.0
135170;205145.0;276994.0;83880.0;96521.0;94263.0
136747;254289.0;230496.0;20401.0;32329.0;86123.0
138202;238246.0;183963.0;123543.0;100393.0;49314.0
140196;8801.0;103811.0;9381.0;85616.0;100393.0
140423;75429.0;20401.0;136747.0;32329.0;86123.0
142556;70318.0;100393.0;98344.0;96521.0;94263.0
142861;172119.0;257625.0;276994.0;85240.0;96521.0
143427;151653.0;259430.0;34987.0;276994.0;85240.0
144223;276994.0;85240.0;98344.0;96521.0;94263.0
144828;218875.0;257495.0;26598.0;242878.0;72100.0
144967;276994.0;85240.0;98344.0;96521.0;94263.0
145161;191881.0;105572.0;96521.0;80203.0;112765.0
148863;201036.0;169310.0;245311.0;103811.0;85240.0
151002;201036.0;245311.0;54884.0;83880.0;96521.0
151653;245311.0;32329.0;80516.0;8801.0;143427.0
151790;34215.0;75429.0;276994.0;85616.0;98344.0
152696;189005.0;183963.0;212260.0;70014.0;134596.0
153115;276994.0;85240.0;98344.0;96521.0;94263.0
154346;51826.0;257625.0;276994.0;98344.0;96521.0
154975;259430.0;100393.0;205145.0;241597.0;121592.0
156243;70014.0;121167.0;238489.0;75335.0;98344.0
156876;276994.0;100519.0;98344.0;96521.0;94263.0
159259;276994.0;100519.0;98344.0;96521.0;94263.0
159727;276994.0;100519.0;98344.0;96521.0;94263.0
159977;39441.0;56157.0;25930.0;276994.0;86123.0
160200;52441.0;276994.0;98344.0;96521.0;94263.0
162886;253482.0;276994.0;85616.0;98344.0;96521.0
163187;276994.0;100519.0;98344.0;96521.0;94263.0
165149;276994.0;100519.0;98344.0;96521.0;94263.0
165420;276994.0;100519.0;98344.0;96521.0;94263.0
167556;259430.0;276038.0;31950.0;112765.0;117925.0
168212;182931.0;100519.0;98344.0;96521.0;94263.0
169054;34215.0;100519.0;98344.0;96521.0;94263.0
169310;176256.0;245311.0;148863.0;276994.0;85616.0
169770;80203.0;70318.0;276994.0;85616.0;98344.0
170792;47512.0;230293.0;212260.0;238246.0;127049.0
172119;91761.0;184632.0;253482.0;142861.0;30385.0
172700;276994.0;70318.0;98344.0;96521.0;94263.0
173018;24778.0;276994.0;85616.0;98344.0;96521.0
174683;25930.0;276994.0;85616.0;98344.0;96521.0
176256;169310.0;100393.0;98344.0;96521.0;94263.0
182506;88187.0;172119.0;276994.0;100393.0;96521.0
182931;7887.0;250764.0;276038.0;168212.0;276994.0
182987;276994.0;70318.0;98344.0;96521.0;94263.0
183963;189005.0;152696.0;212260.0;138202.0;258151.0
184632;172119.0;93085.0;236399.0;98344.0;94263.0
186457;70318.0;98344.0;96521.0;94263.0;93085.0
187397;25966.0;25410.0;276994.0;85616.0;98344.0
187981;251575.0;124048.0;276994.0;85240.0;96521.0
188799;117925.0;133225.0;231374.0;88187.0;34987.0
189005;183963.0;152696.0;212260.0;83880.0;94263.0
191881;105572.0;96521.0;127049.0;145161.0;125514.0
193350;81045.0;121592.0;276994.0;85240.0;96521.0
196493;276994.0;85240.0;98344.0;96521.0;94263.0
197000;125514.0;63665.0;276994.0;83880.0;96521.0
198355;152696.0;134596.0;201036.0;276994.0;83880.0
198547;98344.0;276994.0;85240.0;96521.0;94263.0
201036;151002.0;80516.0;1548.0;148863.0;218875.0
205145;154975.0;135170.0;243490.0;96521.0;94263.0
205979;70318.0;98344.0;96521.0;94263.0;93085.0
209163;252657.0;85240.0;98344.0;96521.0;94263.0
212260;127049.0;189005.0;183963.0;152696.0;230293.0
212568;276994.0;83880.0;96521.0;94263.0;93085.0
212986;276994.0;83880.0;96521.0;94263.0;93085.0
213708;86123.0;229742.0;94263.0;85616.0;127049.0
214641;80516.0;8801.0;151653.0;276994.0;91719.0
215143;276994.0;83880.0;96521.0;94263.0;93085.0
216724;212260.0;276994.0;83880.0;96521.0;94263.0
218831;276994.0;83880.0;96521.0;94263.0;93085.0
218875;144828.0;201036.0;212260.0;64679.0;91761.0
219722;276994.0;83880.0;96521.0;94263.0;93085.0
224635;276994.0;83880.0;96521.0;94263.0;93085.0
226297;276994.0;83880.0;96521.0;94263.0;93085.0
226394;127049.0;16943.0;276994.0;83880.0;96521.0
226462;80516.0;34987.0;44837.0;276994.0;96521.0
226554;100393.0;276994.0;96521.0;94263.0;93085.0
227054;55607.0;266807.0;276994.0;85240.0;96521.0
229742;242878.0;116582.0;103811.0;236399.0;213708.0
230293;170792.0;212260.0;82673.0;236399.0;86123.0
230496;254289.0;212260.0;136747.0;82955.0;73022.0
231374;105572.0;188799.0;253797.0;133225.0;276994.0
233738;96521.0;276994.0;100393.0;94263.0;93085.0
234734;276994.0;100393.0;96521.0;94263.0;93085.0
235113;276994.0;100393.0;96521.0;94263.0;93085.0
236399;103811.0;26598.0;50526.0;86123.0;229742.0
238246;7887.0;87051.0;138202.0;123543.0;130792.0
238489;156243.0;276994.0;85616.0;98344.0;96521.0
241597;259430.0;100393.0;154975.0;55607.0;116816.0
242544;25966.0;276994.0;85616.0;100393.0;98344.0
242878;229742.0;26598.0;144828.0;72100.0;276994.0
243490;154975.0;205145.0;85240.0;96521.0;94263.0
245311;151653.0;32329.0;259430.0;151002.0;9381.0
246216;111241.0;93085.0;276994.0;85240.0;96521.0
246483;276994.0;85240.0;98344.0;96521.0;94263.0
246528;68886.0;16943.0;85240.0;98344.0;96521.0
249732;103811.0;236399.0;26598.0;229742.0;276994.0
250764;8801.0;182931.0;56157.0;7887.0;276038.0
251362;260840.0;276994.0;85240.0;98344.0;96521.0
251575;187981.0;236399.0;276994.0;83880.0;94263.0
252657;209163.0;73022.0;85240.0;98344.0;96521.0
253482;162886.0;172119.0;133225.0;188799.0;276994.0
253797;231374.0;25966.0;276994.0;100519.0;98344.0
254289;230496.0;136747.0;83880.0;96521.0;94263.0
254417;83880.0;98344.0;96521.0;94263.0;93085.0
257495;144828.0;276994.0;85240.0;98344.0;96521.0
257625;123543.0;142861.0;154346.0;51826.0;88187.0
258151;94263.0;8801.0;23652.0;49314.0;68886.0
259430;100393.0;154975.0;241597.0;245311.0;55607.0
260781;276994.0;83880.0;98344.0;96521.0;94263.0
260840;80203.0;251362.0;276994.0;85240.0;98344.0
262407;20401.0;136747.0;32329.0;86123.0;140423.0
266807;55607.0;503.0;227054.0;85240.0;96521.0
272395;276994.0;83880.0;98344.0;96521.0;94263.0
273465;13682.0;127049.0;276994.0;85240.0;98344.0
275228;276994.0;83880.0;98344.0;96521.0;94263.0
275306;75429.0;94263.0;82808.0;276994.0;85240.0
276038;31950.0;112765.0;182931.0;7887.0;87051.0
276994;58168.0;85240.0;98344.0;96521.0;94263.0
